county	date	positive
Delta	20200311	0
Denton	20200311	0
DeWitt	20200311	0
Dickens	20200311	0
Dimmit	20200311	0
Donley	20200311	0
Duval	20200311	0
Eastland	20200311	0
Ector	20200311	0
Edwards	20200311	0
Ellis	20200311	0
El Paso	20200311	0
Erath	20200311	0
Falls	20200311	0
Fannin	20200311	0
Fayette	20200311	0
Fisher	20200311	0
Floyd	20200311	0
Foard	20200311	0
Fort Bend	20200311	6
Franklin	20200311	0
Freestone	20200311	0
Frio	20200311	0
Gaines	20200311	0
Galveston	20200311	0
Garza	20200311	0
Gillespie	20200311	0
Glasscock	20200311	0
Goliad	20200311	0
Gonzales	20200311	0
Gray	20200311	0
Grayson	20200311	0
Gregg	20200311	1
Grimes	20200311	0
Guadalupe	20200311	0
Hale	20200311	0
Hall	20200311	0
Hamilton	20200311	0
Hansford	20200311	0
Hardeman	20200311	0
Hardin	20200311	0
Harris	20200311	5
Harrison	20200311	0
Hartley	20200311	0
Haskell	20200311	0
Hays	20200311	0
Hemphill	20200311	0
Henderson	20200311	0
Hidalgo	20200311	0
Hill	20200311	0
Hockley	20200311	0
Hood	20200311	0
Hopkins	20200311	0
Houston	20200311	0
Howard	20200311	0
Hudspeth	20200311	0
Hunt	20200311	0
Hutchinson	20200311	0
Irion	20200311	0
Jack	20200311	0
Jackson	20200311	0
Jasper	20200311	0
Jeff Davis	20200311	0
Jefferson	20200311	0
Jim Hogg	20200311	0
Jim Wells	20200311	0
Johnson	20200311	0
Jones	20200311	0
Karnes	20200311	0
Kaufman	20200311	0
Kendall	20200311	0
Kenedy	20200311	0
Kent	20200311	0
Kerr	20200311	0
Kimble	20200311	0
King	20200311	0
Kinney	20200311	0
Kleberg	20200311	0
Knox	20200311	0
Lamar	20200311	0
Lamb	20200311	0
Lampasas	20200311	0
La Salle	20200311	0
Lavaca	20200311	0
Lee	20200311	0
Leon	20200311	0
Liberty	20200311	0
Limestone	20200311	0
Lipscomb	20200311	0
Live Oak	20200311	0
Llano	20200311	0
Loving	20200311	0
Lubbock	20200311	0
Lynn	20200311	0
McCulloch	20200311	0
McLennan	20200311	0
McMullen	20200311	0
Madison	20200311	0
Marion	20200311	0
Martin	20200311	0
Mason	20200311	0
Matagorda	20200311	0
Maverick	20200311	0
Medina	20200311	0
Menard	20200311	0
Midland	20200311	0
Milam	20200311	0
Mills	20200311	0
Mitchell	20200311	0
Montague	20200311	0
Montgomery	20200311	0
Moore	20200311	0
Morris	20200311	0
Motley	20200311	0
Nacogdoches	20200311	0
Navarro	20200311	0
Newton	20200311	0
Nolan	20200311	0
Nueces	20200311	0
Ochiltree	20200311	0
Oldham	20200311	0
Orange	20200311	0
Palo Pinto	20200311	0
Panola	20200311	0
Parker	20200311	0
Parmer	20200311	0
Pecos	20200311	0
Polk	20200311	0
Potter	20200311	0
Presidio	20200311	0
Rains	20200311	0
Randall	20200311	0
Reagan	20200311	0
Real	20200311	0
Red River	20200311	0
Reeves	20200311	0
Refugio	20200311	0
Roberts	20200311	0
Robertson	20200311	0
Rockwall	20200311	0
Runnels	20200311	0
Rusk	20200311	0
Sabine	20200311	0
San Augustine	20200311	0
San Jacinto	20200311	0
San Patricio	20200311	0
San Saba	20200311	0
Schleicher	20200311	0
Scurry	20200311	0
Shackelford	20200311	0
Shelby	20200311	0
Sherman	20200311	0
Smith	20200311	0
Somervell	20200311	0
Starr	20200311	0
Stephens	20200311	0
Sterling	20200311	0
Stonewall	20200311	0
Sutton	20200311	0
Swisher	20200311	0
Tarrant	20200311	1
Taylor	20200311	0
Terrell	20200311	0
Terry	20200311	0
Throckmorton	20200311	0
Titus	20200311	0
Tom Green	20200311	0
Travis	20200311	0
Trinity	20200311	0
Tyler	20200311	0
Upshur	20200311	0
Upton	20200311	0
Uvalde	20200311	0
Val Verde	20200311	0
Van Zandt	20200311	0
Victoria	20200311	0
Walker	20200311	0
Waller	20200311	0
Ward	20200311	0
Washington	20200311	0
Webb	20200311	0
Wharton	20200311	0
Wheeler	20200311	0
Wichita	20200311	0
Wilbarger	20200311	0
Willacy	20200311	0
Williamson	20200311	0
Wilson	20200311	0
Winkler	20200311	0
Wise	20200311	0
Wood	20200311	0
Yoakum	20200311	0
Young	20200311	0
Zapata	20200311	0
Zavala	20200311	0
